edge,capacity_limit
waste_290_CH-cement_175_CH,200
waste_290_CH-cement_177_CH,200
waste_290_CH-trullikon_CH,200
waste_290_CH-waste_286_CH,200
waste_290_CH-waste_417_CH,200
waste_362_CH-cement_176_CH,200
waste_362_CH-chemical_268_CH,200
waste_362_CH-energy_344_CH,200
waste_367_CH-chemical_268_CH,200
waste_367_CH-energy_382_CH,200
waste_367_CH-waste_223_CH,200
waste_367_CH-waste_230_CH,200
waste_367_CH-waste_410_CH,200
waste_410_CH-cement_179_CH,200
waste_410_CH-chemical_11_CH,200
waste_410_CH-energy_382_CH,200
waste_410_CH-waste_110_CH,200
waste_410_CH-waste_223_CH,200
waste_410_CH-waste_367_CH,200
waste_417_CH-cement_177_CH,200
waste_417_CH-chemical_268_CH,200
waste_417_CH-energy_344_CH,200
waste_417_CH-energy_382_CH,200
waste_417_CH-waste_278_CH,200
waste_417_CH-waste_286_CH,200
waste_417_CH-waste_289_CH,200
waste_417_CH-waste_290_CH,200
wilhelmshaven_DE-dortmund_DE,200
wilhelmshaven_DE-emmerich_DE,200
wilhelmshaven_DE-rotterdam_NL,200
wilhelmshaven_DE-zeebrugge_BE,200
zeebrugge_BE-koeln_DE,200
zeebrugge_BE-rotterdam_NL,200
zeebrugge_BE-wilhelmshaven_DE,200
